date,NO2,NO2_cleaned,NO2_filled
2023-10-01,4.614269e-05,4.614269e-05,4.614269e-05
2023-10-02,4.5231795e-05,4.5231795e-05,4.5231795e-05
2023-10-03,4.43209e-05,4.43209e-05,4.43209e-05
2023-10-04,3.282356e-05,3.282356e-05,3.282356e-05
2023-10-05,4.3249267e-05,4.3249267e-05,4.3249267e-05
2023-10-06,4.4864053e-05,4.4864053e-05,4.4864053e-05
2023-10-07,3.5402278e-05,3.5402278e-05,3.5402278e-05
2023-10-08,2.5940504e-05,2.5940504e-05,2.5940504e-05
2023-10-09,3.2599713e-05,3.2599713e-05,3.2599713e-05
2023-10-10,4.5900742e-05,4.5900742e-05,4.5900742e-05
2023-10-11,4.949575e-05,4.949575e-05,4.949575e-05
2023-10-12,3.3689485e-05,3.3689485e-05,3.3689485e-05
2023-10-13,3.089934e-05,3.089934e-05,3.089934e-05
2023-10-14,2.6876909e-05,2.6876909e-05,2.6876909e-05
2023-10-15,1.9010875e-05,1.9010875e-05,1.9010875e-05
2023-10-16,3.439561e-05,3.439561e-05,3.439561e-05
2023-10-17,3.8341102e-05,3.8341102e-05,3.8341102e-05
2023-10-18,3.5580222e-05,3.5580222e-05,3.5580222e-05
2023-10-19,3.108019e-05,3.108019e-05,3.108019e-05
2023-10-20,5.168606e-05,5.168606e-05,5.168606e-05
2023-10-21,5.9897164e-05,5.9897164e-05,5.9897164e-05
2023-10-22,5.1340965e-05,5.1340965e-05,5.1340965e-05
2023-10-23,5.2734304e-05,5.2734304e-05,5.2734304e-05
2023-10-24,5.52638e-05,5.52638e-05,5.52638e-05
2023-10-25,5.531124e-05,5.531124e-05,5.531124e-05
2023-10-26,5.3984306e-05,5.3984306e-05,5.3984306e-05
2023-10-27,4.8466194e-05,4.8466194e-05,4.8466194e-05
2023-10-28,5.277638e-05,5.277638e-05,5.277638e-05
2023-10-29,6.5602064e-05,,5.7108457999999996e-05
2023-10-30,6.1440536e-05,6.1440536e-05,6.1440536e-05
2023-10-31,5.2970998e-05,5.2970998e-05,5.2970998e-05
2023-11-01,5.4395285e-05,5.4395285e-05,5.4395285e-05
2023-11-02,5.6017347e-05,5.6017347e-05,5.6017347e-05
2023-11-03,5.7100686e-05,5.7100686e-05,5.7100686e-05
2023-11-04,5.818403e-05,5.818403e-05,5.818403e-05
2023-11-05,5.9267375e-05,5.9267375e-05,5.9267375e-05
2023-11-06,6.792134e-05,,5.72284475e-05
2023-11-07,5.518952e-05,5.518952e-05,5.518952e-05
2023-11-08,6.3085e-05,,5.8605825e-05
2023-11-09,6.202213e-05,6.202213e-05,6.202213e-05
2023-11-10,6.304527e-05,,6.0987400000000005e-05
2023-11-11,6.149897e-05,,
2023-11-12,5.995267e-05,5.995267e-05,5.995267e-05
2023-11-13,5.686007e-05,5.686007e-05,5.686007e-05
2023-11-14,5.448159e-05,5.448159e-05,5.448159e-05
2023-11-15,5.2103103e-05,5.2103103e-05,5.2103103e-05
2023-11-16,4.972462e-05,4.972462e-05,4.972462e-05
2023-11-17,3.2112635e-05,3.2112635e-05,3.2112635e-05
2023-11-18,3.5681194e-05,3.5681194e-05,3.5681194e-05
2023-11-19,4.396102e-05,4.396102e-05,4.396102e-05
2023-11-20,5.2240845e-05,5.2240845e-05,5.2240845e-05
2023-11-21,5.641741e-05,5.641741e-05,5.641741e-05
2023-11-22,4.665715e-05,4.665715e-05,4.665715e-05
2023-11-23,4.3815093e-05,4.3815093e-05,4.3815093e-05
2023-11-24,4.097303e-05,4.097303e-05,4.097303e-05
2023-11-25,3.813098e-05,3.813098e-05,3.813098e-05
2023-11-26,3.5288926e-05,3.5288926e-05,3.5288926e-05
2023-11-27,4.293379e-05,4.293379e-05,4.293379e-05
2023-11-28,4.199246e-05,4.199246e-05,4.199246e-05
2023-11-29,4.105114e-05,4.105114e-05,4.105114e-05
2023-11-30,4.010981e-05,4.010981e-05,4.010981e-05
2023-12-01,3.9168484e-05,3.9168484e-05,3.9168484e-05
2023-12-02,3.8007667e-05,3.8007667e-05,3.8007667e-05
2023-12-03,3.684686e-05,3.684686e-05,3.684686e-05
2023-12-04,3.568604e-05,3.568604e-05,3.568604e-05
2023-12-05,3.4525227e-05,3.4525227e-05,3.4525227e-05
2023-12-06,3.3364413e-05,3.3364413e-05,3.3364413e-05
2023-12-07,3.22036e-05,3.22036e-05,3.22036e-05
2023-12-08,2.9684517e-05,2.9684517e-05,2.9684517e-05
2023-12-09,2.7165432e-05,2.7165432e-05,2.7165432e-05
2023-12-10,2.5633519e-05,2.5633519e-05,2.5633519e-05
2023-12-11,2.4101611e-05,2.4101611e-05,2.4101611e-05
2023-12-12,3.1800402e-05,3.1800402e-05,3.1800402e-05
2023-12-13,4.1715553e-05,4.1715553e-05,4.1715553e-05
2023-12-14,3.4674085e-05,3.4674085e-05,3.4674085e-05
2023-12-15,3.327686e-05,3.327686e-05,3.327686e-05
2023-12-16,4.2447093e-05,4.2447093e-05,4.2447093e-05
2023-12-17,2.6916872e-05,2.6916872e-05,2.6916872e-05
